percent,projected
11.31422157,ten
11.15867846,ten
11.98400245,ten
11.8691821,ten
11.82163671,ten
14.90408696,ten
15.6744099,ten
8.798175345,ten
13.71953685,ten
16.54009589,ten
-141.8326662,ten
-50.12215196,ten
8.818422723,ten
18.03277313,ten
17.53291261,ten
18.3340138,ten
18.33688353,ten
18.82369532,ten
18.76875787,ten
18.50917814,ten
17.80553019,ten
16.49070847,ten
15.99235133,ten
17.95494479,ten
17.98597257,ten
14.84472067,ten
12.97964313,ten
11.35480021,ten
10.32795794,ten
11.23741622,ten
11.95252416,ten
13.43290958,ten
12.87626908,ten
13.55667323,ten
21.93254811,ten
12.88547346,ten
21.65975834,ten
19.67624099,ten
21.28713821,ten
21.50709701,ten
15.94214973,ten
21.27564526,ten
20.70936153,ten
19.50210512,ten
19.08018641,ten
18.20242146,ten
