start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
17,25,40,0.034950327,0.044561527,21.56838074,warping
17,26,45,0.037569701,0.046658504,19.47941359,warping
17,27,50,0.037347551,0.047065103,20.6470441,warping
18,19,5,0.005651358,0.006155827,8.194997159,warping
18,20,10,0.009113631,0.011529357,20.95281862,warping
18,21,15,0.010186569,0.012722064,19.92990013,warping
18,22,20,0.017195571,0.022128691,22.2928704,warping
18,23,25,0.022320677,0.028222112,20.91067547,warping
18,24,30,0.032695298,0.040021475,18.30561385,warping
18,25,35,0.035142376,0.043474656,19.16583286,warping
18,26,40,0.0382656,0.046238404,17.24281859,warping
18,27,45,0.03796149,0.046645003,18.61616953,warping
18,28,50,0.042021379,0.050657944,17.04878611,warping
19,20,5,0.003034186,0.003753714,19.16844389,warping
19,21,10,0.006111783,0.005507379,-10.97442843,warping
19,22,15,0.01228306,0.016318156,24.72764805,warping
19,23,20,0.017525063,0.022618409,22.51858882,warping
19,24,25,0.025186036,0.034445319,26.88110701,warping
19,25,30,0.027894756,0.038432672,27.41916048,warping
19,26,35,0.031398907,0.041770584,24.83009776,warping
19,27,40,0.03211805,0.042204532,23.89904978,warping
19,28,45,0.036299227,0.046484718,21.91148241,warping
19,29,50,0.039413545,0.050634256,22.16031605,warping
20,21,5,0.002679548,0.001125817,-138.0090854,warping
20,22,10,0.00756516,0.010338282,26.8238164,warping
20,23,15,0.013065223,0.016947395,22.90719097,warping
20,24,20,0.022174517,0.028826882,23.07694771,warping
20,25,25,0.024293328,0.032785927,25.90318339,warping
20,26,30,0.02667381,0.036532202,26.98548677,warping
20,27,35,0.027651217,0.036931187,25.12773074,warping
20,28,40,0.031799418,0.041565746,23.49609694,warping
20,29,45,0.035691116,0.045886172,22.21814356,warping
20,30,50,0.041893443,0.053946146,22.34210145,warping
21,22,5,0.008877091,0.008587483,-3.372440881,warping
21,23,10,0.014980661,0.015160509,1.186287004,warping
21,24,15,0.027025189,0.027245203,0.807532624,warping
21,25,20,0.031185212,0.031151324,-0.108783326,warping
21,26,25,0.035016781,0.034820766,-0.562925823,warping
21,27,30,0.03521794,0.035193897,-0.068316632,warping
21,28,35,0.039719325,0.039820491,0.254054105,warping
21,29,40,0.043372812,0.044084911,1.615288951,warping
21,30,45,0.051423471,0.05214251,1.378988137,warping
21,31,50,0.057417607,0.059503187,3.504988976,warping
22,23,5,0.004776033,0.003803613,-25.56567861,warping
22,24,10,0.011671547,0.016631722,29.82358515,warping
22,25,15,0.016977411,0.021609786,21.43646949,warping
22,26,20,0.02308027,0.026325688,12.32795033,warping
22,27,25,0.027716156,0.026699611,-3.807341354,warping
22,28,30,0.035124204,0.032124122,-9.339032327,warping
22,29,35,0.044132612,0.03714229,-18.82038484,warping
22,30,40,0.054213698,0.047335403,-14.53097414,warping
22,31,45,0.064492546,0.055351279,-16.51500421,warping
22,32,50,0.073043571,0.059989088,-21.76142992,warping
23,24,5,0.007649354,0.011034422,30.67734211,warping
23,25,10,0.010342034,0.016878695,38.72728921,warping
23,26,15,0.014516949,0.0224154,35.23671462,warping
23,27,20,0.016521604,0.022902498,27.86112614,warping
23,28,25,0.023292386,0.028866557,19.31013611,warping
23,29,30,0.031482469,0.034002106,7.410237256,warping
23,30,35,0.04424547,0.045102955,1.901170846,warping
23,31,40,0.05774847,0.053486903,-7.967496841,warping
23,32,45,0.069620583,0.058639672,-18.72607805,warping
23,33,50,0.082934971,0.064729967,-28.12453752,warping
24,25,5,0.005930838,0.003985817,-48.79853723,warping
24,26,10,0.016118226,0.009955906,-61.89613647,warping
24,27,15,0.02746793,0.010690416,-156.9397646,warping
24,28,20,0.037960623,0.017806583,-113.1830852,warping
24,29,25,0.048210298,0.024303278,-98.36952948,warping
24,30,30,0.05581291,0.035936235,-55.31095305,warping
24,31,35,0.060417232,0.045468247,-32.87785543,warping
24,32,40,0.066419417,0.051275342,-29.53481109,warping
24,33,45,0.069998398,0.058597642,-19.45599786,warping
24,34,50,0.079306869,0.067201022,-18.01438011,warping
25,26,5,0.002651808,0.004008661,33.8480372,warping
25,27,10,0.005046635,0.004640595,-8.749734009,warping
25,28,15,0.009215202,0.011972444,23.02990222,warping
25,29,20,0.013890427,0.019052759,27.09493246,warping
25,30,25,0.018451193,0.031077725,40.62888067,warping
25,31,30,0.02562769,0.041229661,37.84161843,warping
25,32,35,0.031781075,0.047690446,33.35966063,warping
25,33,40,0.038915535,0.055662001,30.08599238,warping
25,34,45,0.047345714,0.064157903,26.20439289,warping
25,35,50,0.052011975,0.071781293,27.5410453,warping
26,27,5,0.003961806,0.000568959,-596.3249839,warping
26,28,10,0.007359443,0.005809045,-26.68938157,warping
26,29,15,0.012581165,0.012855846,2.1366232,warping
26,30,20,0.018194728,0.025148031,27.64949462,warping
26,31,25,0.027538764,0.03600043,23.50434718,warping
26,32,30,0.036265747,0.043100838,15.85837278,warping
26,33,35,0.045405404,0.051821725,12.38152649,warping
26,34,40,0.057387316,0.06073512,5.512139044,warping
26,35,45,0.062866093,0.068697521,8.488557858,warping
26,36,50,0.063851188,0.071859655,11.14459463,warping
27,28,5,0.005505975,0.00499049,-10.32934094,warping
27,29,10,0.012190148,0.012008407,-1.513450467,warping
27,30,15,0.024277618,0.024262422,-0.062633193,warping
27,31,20,0.035070855,0.035311571,0.68169188,warping
27,32,25,0.042273288,0.042488634,0.506832839,warping
27,33,30,0.051018499,0.051163373,0.283160171,warping
27,34,35,0.059969291,0.059951332,-0.029956363,warping
27,35,40,0.067460183,0.067853837,0.580149726,warping
27,36,45,0.070515865,0.070991384,0.669827541,warping
27,37,50,0.075737038,0.076574862,1.09412353,warping
28,29,5,0.004286449,0.004627047,7.361025028,warping
28,30,10,0.011553775,0.017156877,32.6580577,warping
28,31,15,0.019135962,0.02905479,34.13835828,warping
28,32,20,0.024923834,0.037038766,32.70878915,warping
28,33,25,0.031854894,0.046748035,31.8583247,warping
28,34,30,0.041789924,0.05637948,25.87742296,warping
28,35,35,0.048501563,0.064463153,24.76079613,warping
28,36,40,0.050164993,0.06756743,25.75565996,warping
28,37,45,0.056173549,0.074137851,24.23094601,warping
28,38,50,0.061315673,0.079478044,22.85206066,warping
29,30,5,0.0087003,0.010963226,20.64106199,warping
29,31,10,0.015648759,0.022604294,30.77085942,warping
29,32,15,0.020628427,0.031184587,33.85056991,warping
29,33,20,0.027263033,0.041288005,33.96863507,warping
29,34,25,0.036901085,0.052344677,29.50365339,warping
29,35,30,0.043678039,0.060407704,27.69458823,warping
29,36,35,0.04629769,0.06305324,26.5736545,warping
29,37,40,0.051987923,0.07024748,25.99318476,warping
29,38,45,0.057716612,0.076596593,24.64859042,warping
29,39,50,0.074114463,0.087259319,15.06412844,warping
30,31,5,0.008778099,0.008966028,2.096015955,warping
30,32,10,0.019031375,0.018833654,-1.049831028,warping
30,33,15,0.028677472,0.031496423,8.950065833,warping
30,34,20,0.038468118,0.046144002,16.634629,warping
30,35,25,0.046847288,0.055675663,15.85679324,warping
30,36,30,0.052719113,0.058906573,10.50385391,warping
30,37,35,0.058495917,0.065603897,10.8346913,warping
30,38,40,0.065522385,0.071891878,8.859822013,warping
30,39,45,0.073972651,0.08446402,12.4211103,warping
30,40,50,0.07701417,0.090317734,14.7297371,warping
31,32,5,0.005791897,0.005818769,0.461818602,warping
31,33,10,0.014162648,0.017775915,20.32675394,warping
31,34,15,0.027720252,0.035323547,21.5247229,warping
31,35,20,0.037589572,0.046731464,19.56260554,warping
31,36,25,0.045293649,0.051493705,12.04041492,warping
31,37,30,0.056068443,0.058946915,4.8831593,warping
31,38,35,0.065515093,0.06491772,-0.920200168,warping
