start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
17,19,10,0.010026492,0.009209606,-8.8699364,warping
17,20,15,0.013497827,0.014108458,4.328117595,warping
17,21,20,0.015002097,0.015301165,1.954546307,warping
17,22,25,0.021720218,0.02404477,9.667598537,warping
17,23,30,0.02747309,0.03032224,9.396237975,warping
17,24,35,0.035835633,0.041846602,14.36429523,warping
17,25,40,0.038944999,0.044561527,12.60398492,warping
17,26,45,0.04178472,0.046658504,10.44564867,warping
17,27,50,0.042337631,0.047065103,10.04453759,warping
18,19,5,0.009061189,0.006155827,-47.19693612,warping
18,20,10,0.012672374,0.011529357,-9.91397181,warping
18,21,15,0.014068606,0.012722064,-10.58430684,warping
18,22,20,0.020886127,0.022128691,5.615171067,warping
18,23,25,0.025837177,0.028222112,8.450587453,warping
18,24,30,0.03503451,0.040021475,12.46072137,warping
18,25,35,0.038080857,0.043474656,12.40676652,warping
18,26,40,0.041864983,0.046238404,9.458416266,warping
18,27,45,0.042953106,0.046645003,7.91488318,warping
18,28,50,0.046933814,0.050657944,7.351521107,warping
19,20,5,0.006627599,0.003753714,-76.56110053,warping
19,21,10,0.00987221,0.005507379,-79.25423042,warping
19,22,15,0.018791177,0.016318156,-15.15502698,warping
19,23,20,0.025209336,0.022618409,-11.45494609,warping
19,24,25,0.034834307,0.034445319,-1.129292392,warping
19,25,30,0.03823904,0.038432672,0.503822427,warping
19,26,35,0.04225993,0.041770584,-1.171509799,warping
19,27,40,0.042695261,0.042204532,-1.162740629,warping
19,28,45,0.047058702,0.046484718,-1.234779648,warping
19,29,50,0.050630776,0.050634256,0.006873395,warping
20,21,5,0.004349576,0.001125817,-286.3482639,warping
20,22,10,0.010621464,0.010338282,-2.739165897,warping
20,23,15,0.017059015,0.016947395,-0.658628718,warping
20,24,20,0.02658552,0.028826882,7.775249961,warping
20,25,25,0.030933896,0.032785927,5.648859975,warping
20,26,30,0.034412613,0.036532202,5.801974011,warping
20,27,35,0.036530306,0.036931187,1.085480976,warping
20,28,40,0.038924359,0.041565746,6.354720611,warping
20,29,45,0.040367188,0.045886172,12.0275528,warping
20,30,50,0.042854178,0.053946146,20.56118697,warping
21,22,5,0.008698048,0.008587483,-1.287517479,warping
21,23,10,0.01520297,0.015160509,-0.280078113,warping
21,24,15,0.027904369,0.027245203,-2.419385436,warping
21,25,20,0.031996887,0.031151324,-2.714372836,warping
21,26,25,0.035574168,0.034820766,-2.163657704,warping
21,27,30,0.035494998,0.035193897,-0.855550183,warping
21,28,35,0.039573703,0.039820491,0.619751673,warping
21,29,40,0.042578366,0.044084911,3.417371123,warping
21,30,45,0.048769896,0.05214251,6.468069291,warping
21,31,50,0.053636036,0.059503187,9.860230764,warping
22,23,5,0.009208889,0.003803613,-142.1089802,warping
22,24,10,0.026530986,0.016631722,-59.52037559,warping
22,25,15,0.04674864,0.021609786,-116.3308779,warping
22,26,20,0.059179108,0.026325688,-124.7960548,warping
22,27,25,0.063376155,0.026699611,-137.3673349,warping
22,28,30,0.069924537,0.032124122,-117.6698822,warping
22,29,35,0.077636577,0.03714229,-109.0247433,warping
22,30,40,0.085788846,0.047335403,-81.23611764,warping
22,31,45,0.09167949,0.055351279,-65.63210563,warping
22,32,50,0.097588171,0.059989088,-62.67653883,warping
23,24,5,0.007664079,0.011034422,30.54389864,warping
23,25,10,0.010802223,0.016878695,36.00084231,warping
23,26,15,0.015030827,0.0224154,32.94419267,warping
23,27,20,0.01655885,0.022902498,27.69849755,warping
23,28,25,0.022457821,0.028866557,22.20124899,warping
23,29,30,0.030048113,0.034002106,11.62867152,warping
23,30,35,0.038583734,0.045102955,14.45408701,warping
23,31,40,0.049968359,0.053486903,6.578328053,warping
23,32,45,0.059270813,0.058639672,-1.076303966,warping
23,33,50,0.068922449,0.064729967,-6.476878411,warping
24,25,5,0.008441339,0.003985817,-111.784376,warping
24,26,10,0.026275887,0.009955906,-163.9226221,warping
24,27,15,0.048891088,0.010690416,-357.3356833,warping
24,28,20,0.068782114,0.017806583,-286.2735151,warping
24,29,25,0.086510259,0.024303278,-255.9612828,warping
24,30,30,0.097732633,0.035936235,-171.9612432,warping
24,31,35,0.104781995,0.045468247,-130.4509221,warping
24,32,40,0.109586151,0.051275342,-113.7209568,warping
24,33,45,0.109339808,0.058597642,-86.59421126,warping
24,34,50,0.113799801,0.067201022,-69.34236676,warping
25,26,5,0.004723632,0.004008661,-17.83565719,warping
25,27,10,0.010172284,0.004640595,-119.2021557,warping
25,28,15,0.015408279,0.011972444,-28.69785421,warping
